region,n,k,delta_chi2,amp,phase
B_low_sideband_Kst_signal,10,13.14432573377522,48.87251591101631,4.18078575640144,0.6530889549895924
B_low_sideband_Kst_signal,11,14.45875830715274,72.86669718464145,5.114598448452566,-2.617806429820279
B_low_sideband_Kst_signal,12,15.773190880530263,101.71589629050686,5.969376757948749,0.23032408843063454
B_low_sideband_Kst_signal,13,17.08762345390779,73.98387125041336,5.0952947437165115,2.959212391823118
B_low_sideband_Kst_signal,14,18.402056027285308,56.738040759470096,4.471007709595054,-0.3260234054465944
B_low_sideband_Kst_signal,15,19.716488600662828,54.29698812111019,4.345925302847908,2.450832100418823
B_low_sideband_Kst_signal,16,21.03092117404035,39.03654393434226,3.712332178678709,-1.3896863573048077
B_low_sideband_Kst_signal,17,22.345353747417875,17.39698239194695,2.4780621728382632,1.160902806914044
B_low_sideband_Kst_signal,18,23.659786320795394,3.035837436089423,1.0335299039958679,-2.307692457860546
B_low_sideband_Kst_signal,19,24.974218894172914,6.840069894682529,1.5399074403735789,1.5603647608866784
B_low_sideband_Kst_signal,20,26.28865146755044,4.054370123614717,1.1925343744067096,-1.9313208185087734
B_low_sideband_Kst_signal,21,27.603084040927964,4.069698051645901,1.1972972471464904,1.6725450576005998
B_low_sideband_Kst_signal,22,28.91751661430548,2.508908930385587,0.9423834490550577,-1.0103996331466238
