region,ell,q2_center,counts,active,in_charm_window,fit_model,fit_continuum,fit_charm_jpsi,fit_charm_psi2s,subtract_component,corrected
B_high_sideband_Kst_signal,-2.2924946620860442,0.10101415109679975,8.0,True,False,5.412439464870926,3.530051561273865,1.5554710439909514,0.32691685960610933,1.8823879035970608,6.117612096402939
B_high_sideband_Kst_signal,-2.2723138002700427,0.10307341266950178,6.0,True,False,5.7459504047317465,3.8627877040795795,1.5561460318227398,0.3270166688294271,1.883162700652167,4.116837299347833
B_high_sideband_Kst_signal,-2.252132938454041,0.10517465408541155,4.0,True,False,6.067696540986111,4.183742748329024,1.5568352327911354,0.32711855986595134,1.8839537926570868,2.1160462073429134
B_high_sideband_Kst_signal,-2.2319520766380387,0.10731873114024697,4.0,True,False,6.377964052623788,4.493202519781747,1.557538955715667,0.3272225771263751,1.884761532842042,2.1152384671579583
B_high_sideband_Kst_signal,-2.211771214822037,0.10950651707586775,9.0,True,False,6.677039126730456,4.791452844197067,1.5582575165235284,0.3273287660098603,1.8855862825333887,7.114413717466611
B_high_sideband_Kst_signal,-2.191590353006035,0.1117389029359309,7.0,True,False,6.965207958691872,5.07877954733452,1.5589912384296178,0.32743717292773455,1.8864284113573524,5.113571588642648
B_high_sideband_Kst_signal,-2.1714094911900332,0.11401679792879532,8.0,True,False,7.242756752403212,5.3554684549535665,1.5597404521218183,0.32754784532782655,1.8872882974496448,6.112711702550355
B_high_sideband_Kst_signal,-2.1512286293740317,0.1163411297978253,17.0,True,False,7.509971720484769,5.621805392813641,1.5605054959516729,0.32766083171945526,1.888166327671128,15.111833672328872
B_high_sideband_Kst_signal,-2.1310477675580293,0.11871284519924297,9.0,True,False,7.767139084504,5.8780761866742495,1.561286716130651,0.3277761816990995,1.8890628978297506,7.110937102170249
B_high_sideband_Kst_signal,-2.1108669057420277,0.12113291008768284,12.0,True,False,8.014545075203769,6.1245666622947965,1.5620844669322078,0.32789394597676436,1.889978412908972,10.110021587091028
B_high_sideband_Kst_signal,-2.090686043926026,0.12360231010960747,9.0,True,False,8.252475932737685,6.361562645434802,1.5628991108998145,0.3280141764030689,1.8909132873028833,7.109086712697117
B_high_sideband_Kst_signal,-2.0705051821100238,0.12612205100474222,3.0,True,False,8.481217906911922,6.589349961853657,1.5637310190611864,0.328136925997078,1.8918679450582645,1.1081320549417355
B_high_sideband_Kst_signal,-2.0503243202940222,0.12869315901569356,15.0,True,False,8.701057257434654,6.808214437310838,1.564580571148917,0.3282622489749002,1.8928428201238172,13.107157179876182
B_high_sideband_Kst_signal,-2.0301434584780202,0.131316681305919,7.0,True,False,8.912280254172686,7.0184418975658645,1.5654481558277427,0.3283902007790793,1.893838356606822,5.106161643393178
B_high_sideband_Kst_signal,-2.0099625966620183,0.13399368638621623,9.0,True,False,9.115173177415612,7.220318168378128,1.5663341709286802,0.3285208381088026,1.894855009037483,7.105144990962517
B_high_sideband_Kst_signal,-1.9897817348460165,0.13672526454990747,12.0,True,False,9.31002231814831,7.414129075507091,1.5672390236902645,0.3286542189509529,1.8958932426412174,10.104106757358782
B_high_sideband_Kst_signal,-1.9696008730300147,0.1395125283168953,9.0,True,False,9.497113978331384,7.600160444712188,1.5681631310071635,0.3287904026120327,1.8969535336191963,7.103046466380803
B_high_sideband_Kst_signal,-1.9494200112140128,0.14235661288677096,13.0,True,False,9.67673447119034,7.778698101752937,1.569106919686414,0.3289294497509882,1.8980363694374023,11.101963630562597
B_high_sideband_Kst_signal,-1.9292391493980108,0.14525867660115918,9.0,True,False,9.84917012151332,7.950027872388787,1.5700708267115688,0.3290714224129632,1.899142249124532,7.100857750875468
B_high_sideband_Kst_signal,-1.909058287582009,0.14821990141548916,12.0,True,False,10.014707265958187,8.114435582379144,1.571055299515029,0.32921638406401327,1.9002716835790423,10.099728316420958
