region,ell,q2_center,counts,active,in_charm_window,fit_model,fit_continuum,fit_charm_jpsi,fit_charm_psi2s,subtract_component,corrected
B_low_sideband_Kst_signal,-2.2924946620860442,0.10101415109679975,9.0,True,False,15.835430827928363,9.83073468188195,5.034769349901659,0.9699267961447542,6.004696146046413,2.995303853953587
B_low_sideband_Kst_signal,-2.2723138002700427,0.10307341266950178,11.0,True,False,5.085495063206938,-0.9216820155443202,5.036954159487265,0.9702229192639931,6.007177078751258,4.992822921248742
B_low_sideband_Kst_signal,-2.252132938454041,0.10517465408541155,13.0,True,False,1e-09,-11.423384300509497,5.039184974342358,0.9705252188967831,6.00971019323914,6.99028980676086
B_low_sideband_Kst_signal,-2.2319520766380387,0.10731873114024697,11.0,True,False,1e-09,-21.676329127200574,5.04146279405809,0.9708338268048247,6.012296620862914,4.987703379137086
B_low_sideband_Kst_signal,-2.211771214822037,0.10950651707586775,6.0,True,False,1e-09,-31.68247344980273,5.043788641231805,0.9711488776824976,6.014937518914302,-0.014937518914302395
B_low_sideband_Kst_signal,-2.191590353006035,0.1117389029359309,7.0,True,False,1e-09,-41.443774222501816,5.046163562049779,0.9714705092271675,6.017634071276946,0.9823659287230537
B_low_sideband_Kst_signal,-2.1714094911900332,0.11401679792879532,10.0,True,False,1e-09,-50.962188399484376,5.048588626886949,0.9717988622113855,6.020387489098335,3.9796125109016653
B_low_sideband_Kst_signal,-2.1512286293740317,0.1163411297978253,13.0,True,False,1e-09,-60.2396729349357,5.051064930924085,0.9721340805570299,6.023199011481115,6.976800988518885
B_low_sideband_Kst_signal,-2.1310477675580293,0.11871284519924297,10.0,True,False,1e-09,-69.27818478304255,5.053593594783074,0.9724763114114633,6.026069906194537,3.973930093805463
B_low_sideband_Kst_signal,-2.1108669057420277,0.12113291008768284,9.0,True,False,1e-09,-78.0796808979901,5.056175765180944,0.9728257052257603,6.029001470406705,2.9709985295932952
B_low_sideband_Kst_signal,-2.090686043926026,0.12360231010960747,12.0,True,False,1e-09,-86.64611823396456,5.058812615603222,0.973182415835073,6.031995031438296,5.968004968561704
B_low_sideband_Kst_signal,-2.0705051821100238,0.12612205100474222,9.0,True,False,1e-09,-94.97945374515245,5.061505346997348,0.9735466005412051,6.035051947538553,2.9649480524614473
B_low_sideband_Kst_signal,-2.0503243202940222,0.12869315901569356,10.0,True,False,1e-09,-103.08164438573897,5.064255188486827,0.9739184201974593,6.0381736086842865,3.9618263913157135
B_low_sideband_Kst_signal,-2.0301434584780202,0.131316681305919,13.0,True,False,1e-09,-110.95464710991052,5.067063398106846,0.9742980392958378,6.041361437402684,6.958638562597316
B_low_sideband_Kst_signal,-2.0099625966620183,0.13399368638621623,6.0,True,False,1e-09,-118.60041887185321,5.069931263562126,0.9746856260566676,6.044616889618794,-0.044616889618794175
B_low_sideband_Kst_signal,-1.9897817348460165,0.13672526454990747,13.0,True,False,1e-09,-126.02091662575248,5.072860103007771,0.9750813525207289,6.0479414555285,6.9520585444715
B_low_sideband_Kst_signal,-1.9696008730300147,0.1395125283168953,11.0,True,False,1e-09,-133.21809732579464,5.0758512658539825,0.9754853946439694,6.051336660497952,4.948663339502048
B_low_sideband_Kst_signal,-1.9494200112140128,0.14235661288677096,7.0,True,False,1e-09,-140.19391792616574,5.078906133595449,0.9758979323948909,6.05480406599034,0.9451959340096598
B_low_sideband_Kst_signal,-1.9292391493980108,0.14525867660115918,8.0,True,False,1e-09,-146.95033538105167,5.082026120666345,0.9763191498546924,6.058345270521038,1.9416547294789623
B_low_sideband_Kst_signal,-1.909058287582009,0.14821990141548916,11.0,True,False,1e-09,-153.48930664463848,5.085212675321812,0.9767492353202637,6.061961910642076,4.938038089357924
B_low_sideband_Kst_signal,-1.8888774257660073,0.15124149338038242,17.0,True,False,1e-09,-159.8127886711116,5.088467280546958,0.9771883814101238,6.065655661957082,10.93434433804292
B_low_sideband_Kst_signal,-1.8686965639500053,0.15432468313285427,11.0,True,False,1e-09,-165.92273841465772,5.091791454994344,0.9776367851734009,6.0694282401677455,4.9305717598322545
B_low_sideband_Kst_signal,-1.8485157021340033,0.1574707263975289,13.0,True,False,1e-09,-171.82111282946266,5.095186753951008,0.9780946482019609,6.073281402152969,6.926718597847031
B_low_sideband_Kst_signal,-1.8283348403180015,0.16068090449807212,10.0,True,False,1e-09,-177.50986886971208,5.098654770336147,0.9785621767457828,6.077216947081929,3.9227830529180707
B_low_sideband_Kst_signal,-1.8081539785019998,0.16395652487905032,11.0,True,False,1e-09,-182.99096348959216,5.102197135730583,0.9790395818317006,6.081236717562283,4.918763282437717
B_low_sideband_Kst_signal,-1.7879731166859978,0.1672989216384277,7.0,True,False,1e-09,-188.26635364328877,5.105815521439205,0.9795270793856191,6.085342600824824,0.9146573991751756
B_low_sideband_Kst_signal,-1.767792254869996,0.17070945607091892,15.0,True,False,1e-09,-193.33799628498798,5.109511639587666,0.9800248903583287,6.0895365299459945,8.910463470054005
B_low_sideband_Kst_signal,-1.747611393053994,0.17418951722241885,14.0,True,False,1e-09,-198.20784836887583,5.113287244254593,0.980533240855039,6.0938204851096325,7.9061795148903675
B_low_sideband_Kst_signal,-1.7274305312379923,0.17774052245573424,17.0,True,False,1e-09,-202.87786684913794,5.117144132640675,0.9810523622687601,6.098196494909435,10.901803505090566
B_low_sideband_Kst_signal,-1.7072496694219903,0.1813639180278491,16.0,True,False,1e-09,-207.3500086799607,5.121084146276095,0.9815824914176751,6.10266663769377,9.897333362306231
B_low_sideband_Kst_signal,-1.6870688076059885,0.1850611796789572,9.0,True,False,1e-09,-211.62623081553,5.125109172267711,0.9821238706866269,6.107233042954338,2.8927669570456622
B_low_sideband_Kst_signal,-1.6668879457899866,0.18883381323350343,21.0,True,False,1e-09,-215.70849021003153,5.1292211445875875,0.982676748172883,6.111897892760471,14.88810210723953
B_low_sideband_Kst_signal,-1.6467070839739848,0.19268335521347724,12.0,True,False,1e-09,-219.5987438176515,5.133422045404481,0.983241377836316,6.116663423240798,5.883336576759202
B_low_sideband_Kst_signal,-1.6265262221579828,0.19661137346420915,25.0,True,False,1e-09,-223.29894859257593,5.1377139064599655,0.9838180196541635,6.1215319261141286,18.87846807388587
B_low_sideband_Kst_signal,-1.606345360341981,0.2006194677929239,20.0,True,False,1e-09,-226.81106148899067,5.142098810490943,0.9844069397805346,6.126505750271477,13.873494249728523
B_low_sideband_Kst_signal,-1.586164498525979,0.20470927062031208,15.0,True,False,1e-09,-230.13703946108177,5.1465788927004334,0.9850084107108241,6.131587303411258,8.868412696588742
B_low_sideband_Kst_signal,-1.5659836367099773,0.20888244764538366,20.0,True,False,1e-09,-233.27883946303496,5.151156342278538,0.9856227114512252,6.1367790537297635,13.863220946270236
B_low_sideband_Kst_signal,-1.5458027748939753,0.21314069852387588,14.0,True,False,1e-09,-236.2384184490365,5.155833403975583,0.9862501276935153,6.1420835316690985,7.8579164683309015
