region,well_rank,peak_index,k,n_eff,delta_chi2,prominence,nearest_integer_n,distance_to_integer,distance_to_n10,distance_to_n15,distance_to_n20
B_low_sideband_Kst_signal,1,103,8.06,6.1319235107581775,536.36302752763,524.9518358113346,6.0,0.13192351075817754,3.8680764892418225,8.868076489241822,13.868076489241822
B_low_sideband_Kst_signal,2,3,6.06,4.610354401388903,194.33429987507225,3.8702574295366503,5.0,0.3896455986110974,5.389645598611097,10.389645598611096,15.389645598611096
B_low_sideband_Kst_signal,3,488,15.76,11.989964581829886,101.85492613306815,101.81473147234647,12.0,0.010035418170113886,1.9899645818298861,3.010035418170114,8.010035418170114
B_low_sideband_Kst_signal,4,191,9.82,7.470904327003139,96.28759120898758,87.94188839932758,7.0,0.4709043270031392,2.5290956729968608,7.529095672996861,12.52909567299686
B_low_sideband_Kst_signal,5,552,17.04,12.96376881182622,75.01120895702115,74.46479123130848,13.0,0.03623118817377957,2.9637688118262204,2.0362311881737796,7.03623118817378
B_low_sideband_Kst_signal,6,423,14.46,11.000944660739858,72.87552652025079,71.98165053679259,11.0,0.0009446607398579943,1.000944660739858,3.999055339260142,8.999055339260142
B_low_sideband_Kst_signal,7,921,24.42,18.578358825398848,71.17515820548033,70.81877316343889,19.0,0.42164117460115236,8.578358825398848,3.5783588253988476,1.4216411746011524
B_low_sideband_Kst_signal,8,675,19.5,14.835298816350429,71.06570061439015,69.30326260351467,15.0,0.1647011836495711,4.835298816350429,0.1647011836495711,5.164701183649571
B_low_sideband_Kst_signal,9,613,18.259999999999998,13.891925968541477,64.68592031281878,57.860824523570045,14.0,0.10807403145852312,3.891925968541477,1.1080740314585231,6.108074031458523
B_low_sideband_Kst_signal,10,739,20.78,15.809103046346767,57.69501060409311,55.9131597637479,16.0,0.19089695365323323,5.809103046346767,0.8091030463467668,4.190896953653233
B_low_sideband_Kst_signal,11,360,13.2,10.042356121837212,49.88606138875548,39.16978707634189,10.0,0.04235612183721216,0.04235612183721216,4.957643878162788,9.957643878162788
B_low_sideband_Kst_signal,12,987,25.740000000000002,19.582594437582568,44.53959067177857,43.786970133798604,20.0,0.4174055624174322,9.582594437582568,4.582594437582568,0.4174055624174322
B_low_sideband_Kst_signal,13,856,23.12,17.589338904308818,43.07641098062959,36.41633284585441,18.0,0.41066109569118225,7.589338904308818,2.5893389043088177,2.4106610956911823
B_low_sideband_Kst_signal,14,253,11.06,8.41427717481209,39.17171571760264,23.435959550126427,8.0,0.41427717481209037,1.5857228251879096,6.58572282518791,11.58572282518791
B_low_sideband_Kst_signal,15,799,21.98,16.72204451196833,37.538130770915814,28.09399844030486,17.0,0.2779554880316688,6.722044511968331,1.7220445119683312,3.277955488031669
B_low_sideband_Kst_signal,16,305,12.100000000000001,9.205493111684113,30.50820342949737,13.932023674489756,9.0,0.20549311168411322,0.7945068883158868,5.794506888315887,10.794506888315887
B_low_sideband_Kst_signal,17,1050,27.0,20.54118297648521,20.7309305926683,19.85170256927813,21.0,0.4588170235147899,10.54118297648521,5.54118297648521,0.5411829764852101
B_low_sideband_Kst_signal,18,1284,31.68,24.101654692409312,20.600444112640616,9.612102468487137,24.0,0.10165469240931202,14.101654692409312,9.101654692409312,4.101654692409312
B_low_sideband_Kst_signal,19,1219,30.38,23.112634771319286,19.690574352300246,19.52112604497961,23.0,0.11263477131928568,13.112634771319286,8.112634771319286,3.1126347713192857
B_low_sideband_Kst_signal,20,1105,28.1,21.378045986638313,10.354366393750752,6.293440223678772,21.0,0.37804598663831257,11.378045986638313,6.378045986638313,1.3780459866383126
B_low_sideband_Kst_signal,21,1160,29.2,22.21490899679141,5.48893968565244,4.959103665283692,22.0,0.2149089967914115,12.214908996791412,7.2149089967914115,2.2149089967914115
