region,k1,k2,k3,n1,n2,n3,delta1,delta2,delta3,Q_low,Q_high,Q_mean,koide_error,integer_error_10_15_20,score
signal_B_signal_Kst,7.640000000000001,11.719999999999999,15.64,5.81239399779063,8.916394980903949,11.89867043526773,1359.5233745912847,108.52013922915648,217.47971310491994,0.6518771331058022,0.6672354948805462,0.6595563139931742,0.01480046852247728,10.962565154858408,136.67927587149092
signal_B_signal_Kst,11.719999999999999,18.200000000000003,24.66,8.916394980903949,13.846278895260403,18.76094711852316,108.52013922915648,106.70245025046461,77.10216701182799,0.6439560439560438,0.6774725274725274,0.6607142857142856,0.025150328261473974,2.010105536539754,45.719649981814854
signal_B_signal_Kst,9.879999999999999,14.38,18.200000000000003,7.516551400284217,10.940081896365086,13.846278895260403,85.82625999570155,215.60579085201607,106.70245025046461,0.6870653685674547,0.6328233657858137,0.6599443671766342,0.039515516620046334,7.779378856346458,34.59295266499066
signal_B_signal_Kst,13.06,18.200000000000003,24.66,9.935846284181364,13.846278895260403,18.76094711852316,175.87984552039416,106.70245025046461,77.10216701182799,0.7175824175824175,0.6774725274725274,0.6975274725274725,0.05204978692627301,1.6942373298540432,44.001264193777004
signal_B_signal_Kst,11.719999999999999,18.200000000000003,26.02,8.916394980903949,13.846278895260403,19.795614112894263,108.52013922915648,106.70245025046461,94.37062312622584,0.6439560439560438,0.7148351648351646,0.6793956043956042,0.05325388811826657,1.5959466832509506,37.79674659085235
signal_B_signal_Kst,7.640000000000001,11.719999999999999,14.38,5.81239399779063,8.916394980903949,10.940081896365086,1359.5233745912847,108.52013922915648,215.60579085201607,0.6518771331058022,0.6134812286689422,0.6326791808873722,0.0552034520474737,11.688815598797094,105.84415669987827
signal_B_signal_Kst,7.640000000000001,11.719999999999999,16.92,5.81239399779063,8.916394980903949,12.872474665264065,1359.5233745912847,108.52013922915648,162.8970968006106,0.6518771331058022,0.7218430034129694,0.6868600682593857,0.05712406182765134,10.263913067413093,108.85826630992932
signal_B_signal_Kst,11.719999999999999,16.92,24.66,8.916394980903949,12.872474665264065,18.76094711852316,108.52013922915648,162.8970968006106,77.10216701182799,0.6926713947990543,0.7287234042553192,0.7106973995271868,0.06728509913336148,2.6899471984500867,34.63084716205011
signal_B_signal_Kst,13.06,18.200000000000003,26.02,9.935846284181364,13.846278895260403,19.795614112894263,175.87984552039416,106.70245025046461,94.37062312622584,0.7175824175824175,0.7148351648351646,0.7162087912087911,0.07009006996089659,1.1734401039775717,41.25639846693902
signal_B_signal_Kst,9.879999999999999,14.38,16.92,7.516551400284217,10.940081896365086,12.872474665264065,85.82625999570155,215.60579085201607,162.8970968006106,0.6870653685674547,0.588317107093185,0.6376912378303199,0.08096147555841461,8.570418271762202,29.956865371935752
signal_B_signal_Kst,7.640000000000001,13.06,16.92,5.81239399779063,9.935846284181364,12.872474665264065,1359.5233745912847,175.87984552039416,162.8970968006106,0.5849923430321593,0.6477794793261868,0.6163859111791731,0.08382971422346984,9.694499176568238,102.56611654874001
signal_B_signal_Kst,11.719999999999999,18.200000000000003,27.3,8.916394980903949,13.846278895260403,20.7694183428906,108.52013922915648,106.70245025046461,89.39816235769104,0.6439560439560438,0.7499999999999999,0.6969780219780218,0.08637254672839449,1.7599081826357383,28.211183448222787
signal_B_signal_Kst,7.640000000000001,13.06,18.200000000000003,5.81239399779063,9.935846284181364,13.846278895260403,1359.5233745912847,175.87984552039416,106.70245025046461,0.5849923430321593,0.6967840735068914,0.6408882082695253,0.08705029199223781,9.002776256360988,100.86115022678345
signal_B_signal_Kst,16.92,24.66,28.6,12.872474665264065,18.76094711852316,21.758438263980633,162.8970968006106,77.10216701182799,84.99837046257016,0.6861313868613138,0.5798864557988647,0.6330089213300892,0.08893638361500922,5.048558116843142,24.151456570903534
