region,well_rank,peak_index,k,n_eff,deltaD,prominence,A2,phi2,bound_active,nearest_integer_n,distance_to_integer,distance_to_n10,distance_to_n15,distance_to_n20
signal_B_signal_Kst,1,498,15.96,12.142121492766814,256.3461134299205,225.33847218224605,0.14142135623730953,-0.7853981633974483,True,12.0,0.14212149276681352,2.1421214927668135,2.8578785072331865,7.8578785072331865
signal_B_signal_Kst,2,560,17.200000000000003,13.085494340575764,250.57540655195749,44.54575049972914,0.14142135623730953,2.356194490192345,True,13.0,0.08549434057576377,3.0854943405757638,1.9145056594242362,6.914505659424236
signal_B_signal_Kst,3,434,14.68,11.168317262770477,223.02182368357535,29.545453228809947,0.14142135623730953,2.356194490192345,True,11.0,0.16831726277047743,1.1683172627704774,3.8316827372295226,8.831682737229523
signal_B_signal_Kst,4,621,18.42,14.013651497291022,200.4844357457696,24.906888322918576,0.14142135623730953,-0.7853981633974483,True,14.0,0.013651497291021997,4.013651497291022,0.986348502708978,5.986348502708978
signal_B_signal_Kst,5,680,19.6,14.911377271818894,154.25628385232108,5.893202983337915,0.1357699640803781,2.3987368721782976,True,15.0,0.08862272818110561,4.911377271818894,0.08862272818110561,5.088622728181106
signal_B_signal_Kst,6,740,20.8,15.824318737440457,147.90161281855285,12.829796753796472,0.13784835054590927,-0.759130333986632,True,16.0,0.17568126255954297,5.824318737440457,0.824318737440457,4.175681262559543
signal_B_signal_Kst,7,859,23.18,17.634985977589896,132.57647192975423,49.67912407904441,0.13124344573765687,-0.8663076566445153,True,18.0,0.3650140224101044,7.634985977589896,2.6349859775898956,2.3650140224101044
signal_B_signal_Kst,8,157,9.14,6.953570829817586,125.08764974392989,89.17937819417989,0.1379166274722743,0.8111443605567134,True,7.0,0.04642917018241377,3.0464291701824138,8.046429170182414,13.046429170182414
signal_B_signal_Kst,9,954,25.080000000000002,19.080476631490708,124.68887151400531,11.402993957979106,0.1278280133298452,0.6724448043363478,True,19.0,0.08047663149070772,9.080476631490708,4.080476631490708,0.9195233685092923
signal_B_signal_Kst,10,916,24.32,18.502280369930382,115.67273855665144,1.5916085075750743,0.12118161499210778,2.541366123509311,True,19.0,0.49771963006961784,8.502280369930382,3.502280369930382,1.4977196300696178
signal_B_signal_Kst,11,1245,30.900000000000002,23.508242739755296,52.15752713982101,18.117973147876455,0.08297203984128672,-0.5118200919325424,True,24.0,0.4917572602447038,13.508242739755296,8.508242739755296,3.508242739755296
B_low_sideband_Kst_signal,1,594,17.880000000000003,13.602827837761318,484.0006856861314,407.045498664706,0.14142135623730953,0.7853981633974483,True,14.0,0.39717216223868235,3.6028278377613177,1.3971721622386823,6.397172162238682
B_low_sideband_Kst_signal,2,497,15.94,12.126905801673121,446.2281268483043,80.85876810719765,0.14142135623730953,-0.7853981633974483,True,12.0,0.1269058016731215,2.1269058016731215,2.8730941983268785,7.8730941983268785
B_low_sideband_Kst_signal,3,950,25.0,19.019613867115932,399.3611829218071,221.9864856548511,0.14142135623730953,0.7853981633974483,True,19.0,0.019613867115932493,9.019613867115932,4.0196138671159325,0.9803861328840675
B_low_sideband_Kst_signal,4,201,10.02,7.623061237940067,397.75820667236167,114.91020455429316,0.14142135623730953,-0.7853981633974483,True,8.0,0.3769387620599334,2.3769387620599334,7.376938762059933,12.376938762059932
B_low_sideband_Kst_signal,5,657,19.14,14.56141637666396,393.9859458806013,36.222034248506134,0.14142135623730953,-2.356194490192345,True,15.0,0.43858362333604006,4.56141637666396,0.43858362333604006,5.43858362333604
B_low_sideband_Kst_signal,6,426,14.52,11.046591734020936,387.56944178420827,34.23393575857881,0.14142135623730953,2.356194490192345,True,11.0,0.04659173402093586,1.0465917340209359,3.953408265979064,8.953408265979064
B_low_sideband_Kst_signal,7,1013,26.26,19.97820240601858,342.87446764660035,36.2902159005539,0.14142135623730953,-2.356194490192345,True,20.0,0.02179759398142167,9.978202406018578,4.978202406018578,0.02179759398142167
B_low_sideband_Kst_signal,8,6,6.12,4.656001474669981,335.909708786824,5.291197238049335,0.13615602246047306,-2.3167344804788526,True,5.0,0.3439985253300186,5.343998525330019,10.343998525330019,15.343998525330019
B_low_sideband_Kst_signal,9,386,13.719999999999999,10.437964090273224,332.9729636783627,25.945186600656143,0.14142135623730953,-2.356194490192345,True,10.0,0.43796409027322447,0.43796409027322447,4.5620359097267755,9.562035909726776
B_low_sideband_Kst_signal,10,270,11.4,8.672943923404866,327.50612059982177,32.13989608633074,0.14142135623730953,2.356194490192345,True,9.0,0.32705607659513447,1.3270560765951345,6.3270560765951345,11.327056076595134
B_low_sideband_Kst_signal,11,345,12.9,9.814120755431823,321.3318623102191,28.72560155433075,0.14142135623730953,-0.7853981633974483,True,10.0,0.18587924456817717,0.18587924456817717,5.185879244568177,10.185879244568177
B_low_sideband_Kst_signal,12,888,23.76,18.076241019306984,319.5968850665208,13.720389598156089,0.14117239213288257,-2.357959595593934,True,18.0,0.07624101930698401,8.076241019306984,3.076241019306984,1.923758980693016
B_low_sideband_Kst_signal,13,134,8.68,6.603609934662652,301.5355171246424,13.110944093010403,0.14142135623730953,2.356194490192345,True,7.0,0.3963900653373482,3.396390065337348,8.396390065337348,13.396390065337348
B_low_sideband_Kst_signal,14,1073,27.46,20.891143871640146,258.3015765456312,3.759214141368375,0.12367958698764911,0.9416682039988806,True,21.0,0.1088561283598537,10.891143871640146,5.891143871640146,0.8911438716401463
B_low_sideband_Kst_signal,15,770,21.4,16.28078947025124,195.27941498837117,10.690843793880504,0.11706548092200467,-2.2176079592474567,False,16.0,0.28078947025123924,6.280789470251239,1.2807894702512392,3.7192105297487608
B_low_sideband_Kst_signal,16,1149,28.98,22.04753639476079,165.8354939746182,1.4014206455949534,0.10692502428120504,-2.7797179379236696,True,22.0,0.0475363947607903,12.04753639476079,7.04753639476079,2.0475363947607903
B_high_sideband_Kst_signal,1,521,16.42,12.492082387921748,342.6091121272693,281.84940622316435,0.14142135623730953,-2.356194490192345,True,12.0,0.49208238792174797,2.492082387921748,2.507917612078252,7.507917612078252
B_high_sideband_Kst_signal,2,458,15.16,11.533493849019102,328.74865716890463,44.780781539038344,0.14142135623730953,0.7853981633974483,True,12.0,0.46650615098089787,1.5334938490191021,3.466506150980898,8.466506150980898
B_high_sideband_Kst_signal,3,395,13.9,10.57490531011646,290.0452965837908,24.47884751560241,0.14142135623730953,-2.356194490192345,True,11.0,0.42509468988354016,0.5749053101164598,4.42509468988354,9.42509468988354
B_high_sideband_Kst_signal,4,584,17.68,13.45067092682439,279.79716376900797,15.914280486377265,0.14142135623730953,0.7853981633974483,True,13.0,0.45067092682439025,3.4506709268243902,1.5493290731756098,6.54932907317561
B_high_sideband_Kst_signal,5,1120,28.400000000000002,21.606281353043702,180.062955369885,112.30569986002138,0.11820849320811526,-1.008368340947085,True,22.0,0.3937186469562981,11.606281353043702,6.606281353043702,1.606281353043702
B_high_sideband_Kst_signal,6,992,25.84,19.65867289305103,130.59166088715438,19.62160799425601,0.1019423304596582,-0.9535291254542705,False,20.0,0.3413271069489703,9.65867289305103,4.65867289305103,0.3413271069489703
B_high_sideband_Kst_signal,7,1210,30.2,22.97569355147605,124.72961726991116,7.253512216306717,0.09974623174263926,0.8248135084225862,False,23.0,0.024306448523951474,12.975693551476049,7.9756935514760485,2.9756935514760485
B_high_sideband_Kst_signal,8,923,24.46,18.60879020758623,109.12949597614124,3.159250039331255,0.09362150932188809,2.472820247058674,False,19.0,0.3912097924137683,8.608790207586232,3.6087902075862317,1.3912097924137683
B_high_sideband_Kst_signal,9,113,8.26,6.284080421695105,67.65936389674971,45.19921532203671,0.12840087803683467,2.2937515091404466,True,6.0,0.28408042169510495,3.715919578304895,8.715919578304895,13.715919578304895
