region,k1,k2,k3,n1,n2,n3,deltaD1,deltaD2,deltaD3,Q_low,Q_high,Q_mean,koide_error,target_label_best,target_Q_best,target_error_best,integer_error_10_15_20,score
signal_B_signal_Kst,15.96,23.18,30.900000000000002,12.142121492766814,17.634985977589896,23.508242739755296,256.3461134299205,132.57647192975423,52.15752713982101,0.6885245901639344,0.6665228645383952,0.6775237273511647,0.021858396525466055,koide_2over3,0.6666666666666666,0.021858396525466055,4.882581562341242,53.133758216117315
signal_B_signal_Kst,15.96,24.32,30.900000000000002,12.142121492766814,18.502280369930382,23.508242739755296,256.3461134299205,115.67273855665144,52.15752713982101,0.65625,0.6352796052631579,0.645764802631579,0.033070448560490885,empirical_0p65,0.65,0.015992264417788067,5.400224013910808,44.50747924590362
signal_B_signal_Kst,14.68,23.18,30.900000000000002,11.168317262770477,17.634985977589896,23.508242739755296,223.02182368357535,132.57647192975423,52.15752713982101,0.633304572907679,0.6665228645383952,0.649913718723037,0.033362403675927986,empirical_0p65,0.65,0.02348919620483341,4.5404717210471235,45.776510054290085
signal_B_signal_Kst,9.14,14.68,19.6,6.953570829817586,11.168317262770477,14.911377271818894,125.08764974392989,223.02182368357535,154.25628385232108,0.6226158038147139,0.6675749318801091,0.6450953678474115,0.04406022541589518,empirical_0p65,0.65,0.03253878349454249,7.0609209425883215,43.306617780794205
signal_B_signal_Kst,17.200000000000003,24.32,30.900000000000002,13.085494340575764,18.502280369930382,23.508242739755296,250.57540655195749,115.67273855665144,52.15752713982101,0.7072368421052632,0.6352796052631579,0.6712582236842105,0.051294120117866646,koide_2over3,0.6666666666666666,0.051294120117866646,5.839007641403675,37.270082118900845
signal_B_signal_Kst,17.200000000000003,25.080000000000002,30.900000000000002,13.085494340575764,19.080476631490708,23.508242739755296,250.57540655195749,124.68887151400531,52.15752713982101,0.6858054226475279,0.6160287081339713,0.6509170653907496,0.054134044970368944,empirical_0p65,0.65,0.049356630375411686,6.203090519000393,36.49319131400014
signal_B_signal_Kst,15.96,25.080000000000002,30.900000000000002,12.142121492766814,19.080476631490708,23.508242739755296,256.3461134299205,124.68887151400531,52.15752713982101,0.6363636363636364,0.6160287081339713,0.6261961722488039,0.05901251129976886,quark_like_0p63026,0.63026,0.015484961899714203,5.791954864375327,36.80510001076452
signal_B_signal_Kst,9.14,14.68,18.42,6.953570829817586,11.168317262770477,14.013651497291022,125.08764974392989,223.02182368357535,200.4844357457696,0.6226158038147139,0.6273841961852862,0.625,0.05902195358611974,quark_like_0p63026,0.63026,0.008167250632854704,7.7329743102901265,41.47726159132011
signal_B_signal_Kst,9.14,14.68,20.8,6.953570829817586,11.168317262770477,15.824318737440457,125.08764974392989,223.02182368357535,147.90161281855285,0.6226158038147139,0.7084468664850135,0.6655313351498637,0.06071296084743801,koide_2over3,0.6666666666666666,0.06071296084743801,6.434192823828946,40.06837474842978
signal_B_signal_Kst,14.68,24.32,30.900000000000002,11.168317262770477,18.502280369930382,23.508242739755296,223.02182368357535,115.67273855665144,52.15752713982101,0.6036184210526315,0.6352796052631579,0.6194490131578947,0.0704288924984294,quark_like_0p63026,0.63026,0.02711033319247093,5.093005020332588,32.29669892772098
signal_B_signal_Kst,14.68,20.8,25.080000000000002,11.168317262770477,15.824318737440457,19.080476631490708,223.02182368357535,147.90161281855285,124.68887151400531,0.7057692307692308,0.6028846153846155,0.6543269230769231,0.0748141736914961,empirical_0p65,0.65,0.07300730489510851,1.6999970095907833,50.13243584497078
signal_B_signal_Kst,17.200000000000003,23.18,30.900000000000002,13.085494340575764,17.634985977589896,23.508242739755296,250.57540655195749,132.57647192975423,52.15752713982101,0.7420189818809318,0.6665228645383952,0.7042709232096636,0.07535245242991154,koide_2over3,0.6666666666666666,0.07535245242991154,5.363878591920794,34.34571794956816
signal_B_signal_Kst,18.42,25.080000000000002,30.900000000000002,14.013651497291022,19.080476631490708,23.508242739755296,200.4844357457696,124.68887151400531,52.15752713982101,0.7344497607655502,0.6160287081339713,0.6752392344497608,0.08460940071869724,koide_2over3,0.6666666666666666,0.08460940071869724,6.713229848805563,26.238829700625836
signal_B_signal_Kst,14.68,20.8,30.900000000000002,11.168317262770477,15.824318737440457,23.508242739755296,223.02182368357535,147.90161281855285,52.15752713982101,0.7057692307692308,0.7427884615384616,0.7242788461538462,0.08557767333772733,koide_2over3,0.6666666666666666,0.08557767333772733,3.7884342053714852,34.51003281537491
signal_B_signal_Kst,14.68,19.6,25.080000000000002,11.168317262770477,14.911377271818894,19.080476631490708,223.02182368357535,154.25628385232108,124.68887151400531,0.7489795918367347,0.639795918367347,0.6943877551020408,0.08658784420586191,koide_2over3,0.6666666666666666,0.08658784420586191,1.4894100978818556,47.30563355813538
signal_B_signal_Kst,14.68,20.8,24.32,11.168317262770477,15.824318737440457,18.502280369930382,223.02182368357535,147.90161281855285,115.67273855665144,0.7057692307692308,0.5846153846153846,0.6451923076923077,0.09089237264839206,empirical_0p65,0.65,0.08593808835193974,2.070659483758448,42.796788846097435
